date,team,opp,wl
Thursday Mar 31,WSN,ATL,L
Saturday Apr 2,WSN,ATL,W
Sunday Apr 3,WSN,ATL,L
Tuesday Apr 5,WSN,MIA,L
Wednesday Apr 6,WSN,MIA,L
Thursday Apr 7,WSN,MIA,W
Friday Apr 8,WSN,NYM,W
Saturday Apr 9,WSN,NYM,L
Sunday Apr 10,WSN,NYM,W
Tuesday Apr 12,WSN,PHI,W
Wednesday Apr 13,WSN,PHI,L
Thursday Apr 14,WSN,PHI,L
Friday Apr 15,WSN,MIL,W
Sunday Apr 17,WSN,MIL,W
Sunday Apr 17,WSN,MIL,W
Wednesday Apr 20,WSN,STL,W
Wednesday Apr 20,WSN,STL,L
Thursday Apr 21,WSN,STL,L
Saturday Apr 23,WSN,PIT,L
Sunday Apr 24,WSN,PIT,W
Monday Apr 25,WSN,PIT,L
Tuesday Apr 26,WSN,NYM,L
Wednesday Apr 27,WSN,NYM,L
Thursday Apr 28,WSN,NYM,W
Friday Apr 29,WSN,SFG,W
Saturday Apr 30,WSN,SFG,L
Sunday May 1,WSN,SFG,W
Monday May 2,WSN,SFG,W
Tuesday May 3,WSN,PHI,L
Wednesday May 4,WSN,PHI,L
Thursday May 5,WSN,PHI,L
Friday May 6,WSN,MIA,W
Saturday May 7,WSN,MIA,W
Sunday May 8,WSN,MIA,L
Tuesday May 10,WSN,ATL,W
Wednesday May 11,WSN,ATL,W
Thursday May 12,WSN,ATL,L
Friday May 13,WSN,MIA,L
Saturday May 14,WSN,MIA,L
Sunday May 15,WSN,MIA,W
Monday May 16,WSN,PIT,W
Wednesday May 18,WSN,NYM,L
Thursday May 19,WSN,NYM,L
Friday May 20,WSN,BAL,W
Saturday May 21,WSN,BAL,L
Sunday May 22,WSN,BAL,L
Monday May 23,WSN,MIL,L
Tuesday May 24,WSN,MIL,L
Wednesday May 25,WSN,MIL,L
Friday May 27,WSN,SDP,W
Saturday May 28,WSN,SDP,L
Sunday May 29,WSN,SDP,L
Monday May 30,WSN,PHI,L
Tuesday May 31,WSN,PHI,W
Wednesday Jun 1,WSN,PHI,W
Thursday Jun 2,WSN,ARI,W
Friday Jun 3,WSN,ARI,L
Saturday Jun 4,WSN,ARI,L
Sunday Jun 5,WSN,ARI,W
Monday Jun 6,WSN,SFG,L
Tuesday Jun 7,WSN,SFG,W
Wednesday Jun 8,WSN,SFG,L
Thursday Jun 9,WSN,SDP,L
Friday Jun 10,WSN,SDP,W
Saturday Jun 11,WSN,SDP,W
Sunday Jun 12,WSN,SDP,W
Tuesday Jun 14,WSN,STL,W
Wednesday Jun 15,WSN,STL,W
Thursday Jun 16,WSN,STL,W
Friday Jun 17,WSN,BAL,W
Saturday Jun 18,WSN,BAL,W
Sunday Jun 19,WSN,BAL,L
Tuesday Jun 21,WSN,SEA,W
Wednesday Jun 22,WSN,SEA,W
Thursday Jun 23,WSN,SEA,W
Friday Jun 24,WSN,CHW,W
Saturday Jun 25,WSN,CHW,L
Sunday Jun 26,WSN,CHW,W
Monday Jun 27,WSN,LAA,L
Tuesday Jun 28,WSN,LAA,L
Wednesday Jun 29,WSN,LAA,L
Friday Jul 1,WSN,PIT,W
Saturday Jul 2,WSN,PIT,L
Saturday Jul 2,WSN,PIT,W
Sunday Jul 3,WSN,PIT,L
Monday Jul 4,WSN,CHC,W
Tuesday Jul 5,WSN,CHC,W
Wednesday Jul 6,WSN,CHC,W
Thursday Jul 7,WSN,CHC,L
Friday Jul 8,WSN,COL,L
Saturday Jul 9,WSN,COL,L
Sunday Jul 10,WSN,COL,W
Friday Jul 15,WSN,ATL,L
Saturday Jul 16,WSN,ATL,W
Sunday Jul 17,WSN,ATL,L
Monday Jul 18,WSN,HOU,W
Tuesday Jul 19,WSN,HOU,L
Wednesday Jul 20,WSN,HOU,L
Friday Jul 22,WSN,LAD,W
Saturday Jul 23,WSN,LAD,L
Sunday Jul 24,WSN,LAD,L
Tuesday Jul 26,WSN,MIA,L
Wednesday Jul 27,WSN,MIA,L
Thursday Jul 28,WSN,MIA,L
Friday Jul 29,WSN,NYM,L
Saturday Jul 30,WSN,NYM,W
Sunday Jul 31,WSN,NYM,W
Monday Aug 1,WSN,ATL,W
Tuesday Aug 2,WSN,ATL,W
Wednesday Aug 3,WSN,ATL,L
Thursday Aug 4,WSN,COL,L
Friday Aug 5,WSN,COL,W
Saturday Aug 6,WSN,COL,L
Sunday Aug 7,WSN,COL,W
Tuesday Aug 9,WSN,CHC,W
Wednesday Aug 10,WSN,CHC,L
Thursday Aug 11,WSN,CHC,L
Friday Aug 12,WSN,PHI,W
Saturday Aug 13,WSN,PHI,L
Tuesday Aug 16,WSN,CIN,W
Wednesday Aug 17,WSN,CIN,L
Thursday Aug 18,WSN,CIN,W
Friday Aug 19,WSN,PHI,W
Saturday Aug 20,WSN,PHI,L
Sunday Aug 21,WSN,PHI,W
Monday Aug 22,WSN,ARI,W
Tuesday Aug 23,WSN,ARI,L
Wednesday Aug 24,WSN,ARI,L
Thursday Aug 25,WSN,ARI,L
Friday Aug 26,WSN,CIN,L
Saturday Aug 27,WSN,CIN,L
Sunday Aug 28,WSN,CIN,L
Tuesday Aug 30,WSN,ATL,W
Wednesday Aug 31,WSN,ATL,L
Thursday Sep 1,WSN,ATL,L
Friday Sep 2,WSN,NYM,L
Saturday Sep 3,WSN,NYM,W
Sunday Sep 4,WSN,NYM,L
Monday Sep 5,WSN,LAD,W
Tuesday Sep 6,WSN,LAD,L
Thursday Sep 8,WSN,LAD,L
Friday Sep 9,WSN,HOU,W
Saturday Sep 10,WSN,HOU,L
Sunday Sep 11,WSN,HOU,W
Monday Sep 12,WSN,NYM,W
Tuesday Sep 13,WSN,NYM,W
Wednesday Sep 14,WSN,NYM,W
Thursday Sep 15,WSN,NYM,W
Friday Sep 16,WSN,MIA,L
Saturday Sep 17,WSN,MIA,L
Sunday Sep 18,WSN,MIA,W
Tuesday Sep 20,WSN,PHI,W
Tuesday Sep 20,WSN,PHI,W
Wednesday Sep 21,WSN,PHI,W
Thursday Sep 22,WSN,PHI,W
Friday Sep 23,WSN,ATL,L
Saturday Sep 24,WSN,ATL,W
Sunday Sep 25,WSN,ATL,W
Monday Sep 26,WSN,MIA,W
Tuesday Sep 27,WSN,MIA,L
Wednesday Sep 28,WSN,MIA,W
Friday Apr 1,MIA,NYM,W
Saturday Apr 2,MIA,NYM,L
Sunday Apr 3,MIA,NYM,L
Tuesday Apr 5,MIA,WSN,W
Wednesday Apr 6,MIA,WSN,W
Thursday Apr 7,MIA,WSN,L
Friday Apr 8,MIA,HOU,W
Saturday Apr 9,MIA,HOU,W
