date,team,opp,wl
Thursday Apr 5,PHI,PIT,W
Saturday Apr 7,PHI,PIT,L
Sunday Apr 8,PHI,PIT,L
Monday Apr 9,PHI,MIA,L
Wednesday Apr 11,PHI,MIA,W
Thursday Apr 12,PHI,MIA,W
Friday Apr 13,PHI,NYM,L
Saturday Apr 14,PHI,NYM,L
Sunday Apr 15,PHI,NYM,W
Monday Apr 16,PHI,SFG,W
Tuesday Apr 17,PHI,SFG,L
Wednesday Apr 18,PHI,SFG,L
Thursday Apr 19,PHI,SDP,W
Friday Apr 20,PHI,SDP,W
Saturday Apr 21,PHI,SDP,L
Sunday Apr 22,PHI,SDP,L
Monday Apr 23,PHI,ARI,L
Tuesday Apr 24,PHI,ARI,W
Wednesday Apr 25,PHI,ARI,W
Friday Apr 27,PHI,CHC,L
Saturday Apr 28,PHI,CHC,W
Sunday Apr 29,PHI,CHC,L
Monday Apr 30,PHI,CHC,W
Tuesday May 1,PHI,ATL,W
Wednesday May 2,PHI,ATL,L
Thursday May 3,PHI,ATL,W
Friday May 4,PHI,WSN,L
Saturday May 5,PHI,WSN,L
Sunday May 6,PHI,WSN,W
Monday May 7,PHI,NYM,L
Tuesday May 8,PHI,NYM,L
Wednesday May 9,PHI,NYM,L
Friday May 11,PHI,SDP,W
Saturday May 12,PHI,SDP,L
Sunday May 13,PHI,SDP,W
Monday May 14,PHI,HOU,W
Tuesday May 15,PHI,HOU,W
Wednesday May 16,PHI,CHC,W
Thursday May 17,PHI,CHC,W
Friday May 18,PHI,BOS,W
Saturday May 19,PHI,BOS,L
Sunday May 20,PHI,BOS,L
Monday May 21,PHI,WSN,L
Tuesday May 22,PHI,WSN,L
Wednesday May 23,PHI,WSN,W
Thursday May 24,PHI,STL,W
Friday May 25,PHI,STL,W
Saturday May 26,PHI,STL,W
Sunday May 27,PHI,STL,L
Monday May 28,PHI,NYM,W
Tuesday May 29,PHI,NYM,L
Wednesday May 30,PHI,NYM,W
Friday Jun 1,PHI,MIA,W
Saturday Jun 2,PHI,MIA,L
Sunday Jun 3,PHI,MIA,L
Monday Jun 4,PHI,LAD,L
Tuesday Jun 5,PHI,LAD,L
Wednesday Jun 6,PHI,LAD,L
Thursday Jun 7,PHI,LAD,L
Friday Jun 8,PHI,BAL,W
Saturday Jun 9,PHI,BAL,L
Sunday Jun 10,PHI,BAL,L
Tuesday Jun 12,PHI,MIN,L
Wednesday Jun 13,PHI,MIN,W
Thursday Jun 14,PHI,MIN,W
Friday Jun 15,PHI,TOR,L
Saturday Jun 16,PHI,TOR,L
Sunday Jun 17,PHI,TOR,L
Tuesday Jun 19,PHI,COL,W
Wednesday Jun 20,PHI,COL,W
Thursday Jun 21,PHI,COL,L
Saturday Jun 23,PHI,TBR,W
Sunday Jun 24,PHI,TBR,L
Sunday Jun 24,PHI,TBR,L
Monday Jun 25,PHI,PIT,W
Tuesday Jun 26,PHI,PIT,W
Wednesday Jun 27,PHI,PIT,L
Thursday Jun 28,PHI,PIT,L
Friday Jun 29,PHI,MIA,L
Saturday Jun 30,PHI,MIA,L
Sunday Jul 1,PHI,MIA,L
Tuesday Jul 3,PHI,NYM,L
Wednesday Jul 4,PHI,NYM,W
Thursday Jul 5,PHI,NYM,L
Friday Jul 6,PHI,ATL,L
Saturday Jul 7,PHI,ATL,L
Sunday Jul 8,PHI,ATL,L
Friday Jul 13,PHI,COL,L
Saturday Jul 14,PHI,COL,W
Sunday Jul 15,PHI,COL,W
Monday Jul 16,PHI,LAD,W
Tuesday Jul 17,PHI,LAD,W
Wednesday Jul 18,PHI,LAD,L
Friday Jul 20,PHI,SFG,L
Saturday Jul 21,PHI,SFG,L
Sunday Jul 22,PHI,SFG,W
Monday Jul 23,PHI,MIL,W
Tuesday Jul 24,PHI,MIL,W
Wednesday Jul 25,PHI,MIL,W
Friday Jul 27,PHI,ATL,L
Saturday Jul 28,PHI,ATL,L
Sunday Jul 29,PHI,ATL,L
Tuesday Jul 31,PHI,WSN,W
Wednesday Aug 1,PHI,WSN,W
Thursday Aug 2,PHI,WSN,L
Friday Aug 3,PHI,ARI,L
Saturday Aug 4,PHI,ARI,W
Sunday Aug 5,PHI,ARI,W
Monday Aug 6,PHI,ATL,L
Tuesday Aug 7,PHI,ATL,W
Wednesday Aug 8,PHI,ATL,L
Friday Aug 10,PHI,STL,W
Saturday Aug 11,PHI,STL,L
Sunday Aug 12,PHI,STL,W
Monday Aug 13,PHI,MIA,W
Tuesday Aug 14,PHI,MIA,W
Wednesday Aug 15,PHI,MIA,L
Thursday Aug 16,PHI,MIL,L
Friday Aug 17,PHI,MIL,L
Saturday Aug 18,PHI,MIL,W
Sunday Aug 19,PHI,MIL,W
Monday Aug 20,PHI,CIN,W
Tuesday Aug 21,PHI,CIN,L
Wednesday Aug 22,PHI,CIN,L
Thursday Aug 23,PHI,CIN,W
Friday Aug 24,PHI,WSN,W
Saturday Aug 25,PHI,WSN,W
Sunday Aug 26,PHI,WSN,W
Tuesday Aug 28,PHI,NYM,L
Wednesday Aug 29,PHI,NYM,L
Thursday Aug 30,PHI,NYM,W
Friday Aug 31,PHI,ATL,W
Saturday Sep 1,PHI,ATL,W
Sunday Sep 2,PHI,ATL,L
Monday Sep 3,PHI,CIN,W
Tuesday Sep 4,PHI,CIN,L
Wednesday Sep 5,PHI,CIN,W
Friday Sep 7,PHI,COL,W
Sunday Sep 9,PHI,COL,W
Sunday Sep 9,PHI,COL,W
Monday Sep 10,PHI,MIA,W
Tuesday Sep 11,PHI,MIA,W
Wednesday Sep 12,PHI,MIA,W
Thursday Sep 13,PHI,HOU,L
Friday Sep 14,PHI,HOU,W
Saturday Sep 15,PHI,HOU,L
Sunday Sep 16,PHI,HOU,L
Monday Sep 17,PHI,NYM,W
Wednesday Sep 19,PHI,NYM,W
Thursday Sep 20,PHI,NYM,W
Friday Sep 21,PHI,ATL,W
Saturday Sep 22,PHI,ATL,L
Sunday Sep 23,PHI,ATL,L
Tuesday Sep 25,PHI,WSN,W
Wednesday Sep 26,PHI,WSN,L
Thursday Sep 27,PHI,WSN,L
Friday Sep 28,PHI,MIA,L
Saturday Sep 29,PHI,MIA,W
Sunday Sep 30,PHI,MIA,W
Monday Oct 1,PHI,WSN,W
Tuesday Oct 2,PHI,WSN,L
Wednesday Oct 3,PHI,WSN,L
Thursday Apr 5,WSN,CHC,W
Saturday Apr 7,WSN,CHC,W
Sunday Apr 8,WSN,CHC,L
Monday Apr 9,WSN,NYM,L
Tuesday Apr 10,WSN,NYM,W
Wednesday Apr 11,WSN,NYM,W
Thursday Apr 12,WSN,CIN,W
Friday Apr 13,WSN,CIN,W
Saturday Apr 14,WSN,CIN,W
Sunday Apr 15,WSN,CIN,L
Monday Apr 16,WSN,HOU,W
Tuesday Apr 17,WSN,HOU,W
Wednesday Apr 18,WSN,HOU,W
Thursday Apr 19,WSN,HOU,L
Friday Apr 20,WSN,MIA,W
Saturday Apr 21,WSN,MIA,W
Tuesday Apr 24,WSN,SDP,W
Wednesday Apr 25,WSN,SDP,W
Thursday Apr 26,WSN,SDP,L
Friday Apr 27,WSN,LAD,L
Saturday Apr 28,WSN,LAD,L
Sunday Apr 29,WSN,LAD,L
Tuesday May 1,WSN,ARI,L
Wednesday May 2,WSN,ARI,W
Thursday May 3,WSN,ARI,W
Friday May 4,WSN,PHI,W
Saturday May 5,WSN,PHI,W
Sunday May 6,WSN,PHI,L
Tuesday May 8,WSN,PIT,L
Wednesday May 9,WSN,PIT,L
Thursday May 10,WSN,PIT,W
Friday May 11,WSN,CIN,W
Saturday May 12,WSN,CIN,W
Sunday May 13,WSN,CIN,L
Monday May 14,WSN,SDP,W
Tuesday May 15,WSN,SDP,L
Wednesday May 16,WSN,PIT,W
Thursday May 17,WSN,PIT,L
Friday May 18,WSN,BAL,L
Saturday May 19,WSN,BAL,L
Sunday May 20,WSN,BAL,W
Monday May 21,WSN,PHI,W
Tuesday May 22,WSN,PHI,W
Wednesday May 23,WSN,PHI,L
Friday May 25,WSN,ATL,W
Saturday May 26,WSN,ATL,W
Sunday May 27,WSN,ATL,W
Monday May 28,WSN,MIA,L
Tuesday May 29,WSN,MIA,L
Wednesday May 30,WSN,MIA,L
Saturday Jun 2,WSN,ATL,W
Sunday Jun 3,WSN,ATL,L
Tuesday Jun 5,WSN,NYM,W
Wednesday Jun 6,WSN,NYM,W
Thursday Jun 7,WSN,NYM,L
Friday Jun 8,WSN,BOS,W
Saturday Jun 9,WSN,BOS,W
Sunday Jun 10,WSN,BOS,W
Monday Jun 11,WSN,TOR,W
Tuesday Jun 12,WSN,TOR,W
Wednesday Jun 13,WSN,TOR,W
Friday Jun 15,WSN,NYY,L
Saturday Jun 16,WSN,NYY,L
Sunday Jun 17,WSN,NYY,L
Tuesday Jun 19,WSN,TBR,L
Wednesday Jun 20,WSN,TBR,W
Thursday Jun 21,WSN,TBR,W
Friday Jun 22,WSN,BAL,L
Saturday Jun 23,WSN,BAL,W
Sunday Jun 24,WSN,BAL,L
Monday Jun 25,WSN,COL,L
Tuesday Jun 26,WSN,COL,W
Wednesday Jun 27,WSN,COL,W
Thursday Jun 28,WSN,COL,L
Friday Jun 29,WSN,ATL,W
Saturday Jun 30,WSN,ATL,L
Sunday Jul 1,WSN,ATL,W
Tuesday Jul 3,WSN,SFG,W
Wednesday Jul 4,WSN,SFG,W
Thursday Jul 5,WSN,SFG,W
Friday Jul 6,WSN,COL,L
Saturday Jul 7,WSN,COL,W
Sunday Jul 8,WSN,COL,L
Friday Jul 13,WSN,MIA,W
Saturday Jul 14,WSN,MIA,L
Sunday Jul 15,WSN,MIA,W
Monday Jul 16,WSN,MIA,L
Tuesday Jul 17,WSN,NYM,W
Wednesday Jul 18,WSN,NYM,W
Thursday Jul 19,WSN,NYM,L
Friday Jul 20,WSN,ATL,L
Saturday Jul 21,WSN,ATL,L
Saturday Jul 21,WSN,ATL,W
Sunday Jul 22,WSN,ATL,W
Monday Jul 23,WSN,NYM,W
Tuesday Jul 24,WSN,NYM,W
Wednesday Jul 25,WSN,NYM,W
Thursday Jul 26,WSN,MIL,W
Friday Jul 27,WSN,MIL,L
Saturday Jul 28,WSN,MIL,W
Sunday Jul 29,WSN,MIL,W
Tuesday Jul 31,WSN,PHI,L
Wednesday Aug 1,WSN,PHI,L
Thursday Aug 2,WSN,PHI,W
Friday Aug 3,WSN,MIA,W
Friday Aug 3,WSN,MIA,L
Saturday Aug 4,WSN,MIA,W
Sunday Aug 5,WSN,MIA,W
Monday Aug 6,WSN,HOU,W
Tuesday Aug 7,WSN,HOU,W
Wednesday Aug 8,WSN,HOU,W
Thursday Aug 9,WSN,HOU,W
Friday Aug 10,WSN,ARI,W
Saturday Aug 11,WSN,ARI,W
Sunday Aug 12,WSN,ARI,L
Monday Aug 13,WSN,SFG,W
Tuesday Aug 14,WSN,SFG,L
Wednesday Aug 15,WSN,SFG,W
Friday Aug 17,WSN,NYM,W
Saturday Aug 18,WSN,NYM,L
Sunday Aug 19,WSN,NYM,W
Monday Aug 20,WSN,ATL,W
Tuesday Aug 21,WSN,ATL,W
Wednesday Aug 22,WSN,ATL,L
Friday Aug 24,WSN,PHI,L
Saturday Aug 25,WSN,PHI,L
Sunday Aug 26,WSN,PHI,L
Tuesday Aug 28,WSN,MIA,L
Wednesday Aug 29,WSN,MIA,W
Thursday Aug 30,WSN,STL,W
Friday Aug 31,WSN,STL,W
Saturday Sep 1,WSN,STL,L
Sunday Sep 2,WSN,STL,W
Monday Sep 3,WSN,CHC,W
Tuesday Sep 4,WSN,CHC,W
Wednesday Sep 5,WSN,CHC,W
Thursday Sep 6,WSN,CHC,W
Friday Sep 7,WSN,MIA,L
Saturday Sep 8,WSN,MIA,W
Sunday Sep 9,WSN,MIA,L
Monday Sep 10,WSN,NYM,W
Tuesday Sep 11,WSN,NYM,W
Wednesday Sep 12,WSN,NYM,W
Friday Sep 14,WSN,ATL,L
Saturday Sep 15,WSN,ATL,L
Sunday Sep 16,WSN,ATL,L
Wednesday Sep 19,WSN,LAD,W
Wednesday Sep 19,WSN,LAD,L
Thursday Sep 20,WSN,LAD,W
Friday Sep 21,WSN,MIL,L
Saturday Sep 22,WSN,MIL,W
Sunday Sep 23,WSN,MIL,L
Monday Sep 24,WSN,MIL,W
Tuesday Sep 25,WSN,PHI,L
Wednesday Sep 26,WSN,PHI,W
Thursday Sep 27,WSN,PHI,W
Friday Sep 28,WSN,STL,L
Saturday Sep 29,WSN,STL,W
Sunday Sep 30,WSN,STL,L
Monday Oct 1,WSN,PHI,L
Tuesday Oct 2,WSN,PHI,W
Wednesday Oct 3,WSN,PHI,W
Thursday Apr 5,ATL,NYM,L
Saturday Apr 7,ATL,NYM,L
Sunday Apr 8,ATL,NYM,L
Monday Apr 9,ATL,HOU,L
Tuesday Apr 10,ATL,HOU,W
Wednesday Apr 11,ATL,HOU,W
Friday Apr 13,ATL,MIL,W
Saturday Apr 14,ATL,MIL,W
Sunday Apr 15,ATL,MIL,W
Monday Apr 16,ATL,NYM,L
Tuesday Apr 17,ATL,NYM,W
Wednesday Apr 18,ATL,NYM,W
Thursday Apr 19,ATL,ARI,W
Friday Apr 20,ATL,ARI,W
Saturday Apr 21,ATL,ARI,W
Sunday Apr 22,ATL,ARI,L
Monday Apr 23,ATL,LAD,L
Tuesday Apr 24,ATL,LAD,W
Wednesday Apr 25,ATL,LAD,W
Friday Apr 27,ATL,PIT,W
Saturday Apr 28,ATL,PIT,L
Sunday Apr 29,ATL,PIT,W
Monday Apr 30,ATL,PIT,L
Tuesday May 1,ATL,PHI,L
Wednesday May 2,ATL,PHI,W
Thursday May 3,ATL,PHI,L
Friday May 4,ATL,COL,W
Saturday May 5,ATL,COL,W
Sunday May 6,ATL,COL,W
Monday May 7,ATL,CHC,L
Tuesday May 8,ATL,CHC,W
Wednesday May 9,ATL,CHC,L
Friday May 11,ATL,STL,W
Saturday May 12,ATL,STL,W
Sunday May 13,ATL,STL,W
Monday May 14,ATL,CIN,L
Tuesday May 15,ATL,CIN,W
Wednesday May 16,ATL,MIA,L
Thursday May 17,ATL,MIA,W
Friday May 18,ATL,TBR,W
