date,team,opp,wl
Sunday Mar 30,WSN,ATL,W
Monday Mar 31,WSN,PHI,W
Wednesday Apr 2,WSN,PHI,W
Thursday Apr 3,WSN,PHI,L
Friday Apr 4,WSN,STL,L
Saturday Apr 5,WSN,STL,L
Sunday Apr 6,WSN,STL,L
Monday Apr 7,WSN,MIA,L
Wednesday Apr 9,WSN,MIA,L
Thursday Apr 10,WSN,MIA,L
Friday Apr 11,WSN,ATL,L
Saturday Apr 12,WSN,ATL,L
Sunday Apr 13,WSN,ATL,W
Tuesday Apr 15,WSN,NYM,L
Wednesday Apr 16,WSN,NYM,L
Thursday Apr 17,WSN,NYM,L
Friday Apr 18,WSN,MIA,W
Saturday Apr 19,WSN,MIA,L
Sunday Apr 20,WSN,MIA,L
Monday Apr 21,WSN,ATL,L
Tuesday Apr 22,WSN,ATL,W
Wednesday Apr 23,WSN,NYM,L
Thursday Apr 24,WSN,NYM,W
Friday Apr 25,WSN,CHC,W
Saturday Apr 26,WSN,CHC,L
Sunday Apr 27,WSN,CHC,W
Tuesday Apr 29,WSN,ATL,W
Wednesday Apr 30,WSN,ATL,W
Thursday May 1,WSN,PIT,W
Friday May 2,WSN,PIT,L
Saturday May 3,WSN,PIT,W
Sunday May 4,WSN,PIT,W
Tuesday May 6,WSN,HOU,L
Wednesday May 7,WSN,HOU,L
Thursday May 8,WSN,HOU,W
Friday May 9,WSN,MIA,L
Saturday May 10,WSN,MIA,L
Sunday May 11,WSN,MIA,L
Monday May 12,WSN,NYM,W
Tuesday May 13,WSN,NYM,L
Wednesday May 14,WSN,NYM,W
Thursday May 15,WSN,NYM,W
Friday May 16,WSN,BAL,L
Saturday May 17,WSN,BAL,L
Sunday May 18,WSN,BAL,W
Monday May 19,WSN,PHI,W
Tuesday May 20,WSN,PHI,L
Wednesday May 21,WSN,PHI,L
Friday May 23,WSN,MIL,W
Saturday May 24,WSN,MIL,L
Sunday May 25,WSN,MIL,W
Monday May 26,WSN,MIL,L
Tuesday May 27,WSN,SDP,L
Wednesday May 28,WSN,SDP,W
Thursday May 29,WSN,SDP,L
Friday May 30,WSN,ARI,W
Saturday May 31,WSN,ARI,L
Sunday Jun 1,WSN,ARI,L
Tuesday Jun 3,WSN,STL,L
Thursday Jun 5,WSN,STL,L
Thursday Jun 5,WSN,STL,W
Friday Jun 6,WSN,SFG,L
Saturday Jun 7,WSN,SFG,L
Sunday Jun 8,WSN,SFG,L
Monday Jun 9,WSN,SFG,L
Tuesday Jun 10,WSN,PIT,W
Wednesday Jun 11,WSN,PIT,L
Thursday Jun 12,WSN,PIT,L
Friday Jun 13,WSN,SEA,W
Saturday Jun 14,WSN,SEA,W
Sunday Jun 15,WSN,SEA,W
Tuesday Jun 17,WSN,MIN,L
Wednesday Jun 18,WSN,MIN,L
Thursday Jun 19,WSN,MIN,L
Friday Jun 20,WSN,TEX,W
Saturday Jun 21,WSN,TEX,L
Sunday Jun 22,WSN,TEX,L
Monday Jun 23,WSN,LAA,L
Tuesday Jun 24,WSN,LAA,L
Wednesday Jun 25,WSN,LAA,W
Friday Jun 27,WSN,BAL,W
Saturday Jun 28,WSN,BAL,L
Sunday Jun 29,WSN,BAL,W
Monday Jun 30,WSN,MIA,L
Tuesday Jul 1,WSN,MIA,W
Wednesday Jul 2,WSN,MIA,L
Thursday Jul 3,WSN,CIN,L
Friday Jul 4,WSN,CIN,L
Saturday Jul 5,WSN,CIN,L
Sunday Jul 6,WSN,CIN,L
Tuesday Jul 8,WSN,ARI,L
Wednesday Jul 9,WSN,ARI,W
Thursday Jul 10,WSN,ARI,L
Friday Jul 11,WSN,HOU,W
Saturday Jul 12,WSN,HOU,L
Sunday Jul 13,WSN,HOU,L
Friday Jul 18,WSN,ATL,L
Saturday Jul 19,WSN,ATL,W
Sunday Jul 20,WSN,ATL,W
Tuesday Jul 22,WSN,SFG,L
Wednesday Jul 23,WSN,SFG,L
Thursday Jul 24,WSN,SFG,L
Friday Jul 25,WSN,LAD,L
Saturday Jul 26,WSN,LAD,L
Sunday Jul 27,WSN,LAD,L
Tuesday Jul 29,WSN,PHI,L
Wednesday Jul 30,WSN,PHI,L
Thursday Jul 31,WSN,PHI,L
Friday Aug 1,WSN,CIN,W
Saturday Aug 2,WSN,CIN,W
Sunday Aug 3,WSN,CIN,W
Monday Aug 4,WSN,COL,W
Tuesday Aug 5,WSN,COL,L
Thursday Aug 7,WSN,COL,W
Thursday Aug 7,WSN,COL,W
Friday Aug 8,WSN,MIL,L
Saturday Aug 9,WSN,MIL,L
Sunday Aug 10,WSN,MIL,L
Monday Aug 11,WSN,MIL,L
Tuesday Aug 12,WSN,NYM,L
Wednesday Aug 13,WSN,NYM,L
Thursday Aug 14,WSN,NYM,L
Friday Aug 15,WSN,COL,L
Saturday Aug 16,WSN,COL,L
Sunday Aug 17,WSN,COL,L
Tuesday Aug 19,WSN,PHI,L
Wednesday Aug 20,WSN,PHI,L
Thursday Aug 21,WSN,PHI,W
Friday Aug 22,WSN,CHC,W
Saturday Aug 23,WSN,CHC,L
Sunday Aug 24,WSN,CHC,L
Tuesday Aug 26,WSN,LAD,W
Wednesday Aug 27,WSN,LAD,W
Thursday Aug 28,WSN,LAD,W
Friday Aug 29,WSN,ATL,W
Saturday Aug 30,WSN,ATL,W
Sunday Aug 31,WSN,ATL,W
Monday Sep 1,WSN,PHI,W
Tuesday Sep 2,WSN,PHI,L
Wednesday Sep 3,WSN,PHI,W
Thursday Sep 4,WSN,ATL,L
Friday Sep 5,WSN,ATL,L
Saturday Sep 6,WSN,ATL,W
Sunday Sep 7,WSN,ATL,W
Tuesday Sep 9,WSN,NYM,L
Wednesday Sep 10,WSN,NYM,L
Friday Sep 12,WSN,MIA,L
Saturday Sep 13,WSN,MIA,L
Sunday Sep 14,WSN,MIA,L
Monday Sep 15,WSN,NYM,W
Tuesday Sep 16,WSN,NYM,W
Wednesday Sep 17,WSN,NYM,L
Thursday Sep 18,WSN,NYM,L
Friday Sep 19,WSN,SDP,L
Saturday Sep 20,WSN,SDP,L
Sunday Sep 21,WSN,SDP,L
Tuesday Sep 23,WSN,MIA,W
Wednesday Sep 24,WSN,MIA,L
Friday Sep 26,WSN,PHI,L
Saturday Sep 27,WSN,PHI,L
Sunday Sep 28,WSN,PHI,L
Monday Mar 31,MIA,NYM,L
Tuesday Apr 1,MIA,NYM,W
Wednesday Apr 2,MIA,NYM,L
Friday Apr 4,MIA,PIT,W
Saturday Apr 5,MIA,PIT,W
Sunday Apr 6,MIA,PIT,L
Monday Apr 7,MIA,WSN,W
Wednesday Apr 9,MIA,WSN,W
Thursday Apr 10,MIA,WSN,W
Friday Apr 11,MIA,HOU,W
Saturday Apr 12,MIA,HOU,L
Sunday Apr 13,MIA,HOU,L
Tuesday Apr 15,MIA,ATL,W
Wednesday Apr 16,MIA,ATL,W
Thursday Apr 17,MIA,ATL,L
Friday Apr 18,MIA,WSN,L
Saturday Apr 19,MIA,WSN,W
Sunday Apr 20,MIA,WSN,W
Monday Apr 21,MIA,PIT,W
Tuesday Apr 22,MIA,PIT,L
Wednesday Apr 23,MIA,ATL,W
Thursday Apr 24,MIA,ATL,L
Friday Apr 25,MIA,MIL,W
Saturday Apr 26,MIA,MIL,L
Sunday Apr 27,MIA,MIL,W
Tuesday Apr 29,MIA,LAD,L
Wednesday Apr 30,MIA,LAD,L
Thursday May 1,MIA,LAD,L
Friday May 2,MIA,SDP,W
Saturday May 3,MIA,SDP,L
Sunday May 4,MIA,SDP,W
Tuesday May 6,MIA,MIL,W
Wednesday May 7,MIA,MIL,W
Thursday May 8,MIA,MIL,W
Friday May 9,MIA,WSN,W
Saturday May 10,MIA,WSN,W
Sunday May 11,MIA,WSN,W
Monday May 12,MIA,CIN,L
Tuesday May 13,MIA,CIN,L
Wednesday May 14,MIA,CIN,L
Friday May 16,MIA,KCR,L
Saturday May 17,MIA,KCR,W
Sunday May 18,MIA,KCR,L
Tuesday May 20,MIA,ARI,W
Wednesday May 21,MIA,ARI,W
Thursday May 22,MIA,ARI,W
Friday May 23,MIA,SFG,L
Sunday May 25,MIA,SFG,W
Sunday May 25,MIA,SFG,W
Monday May 26,MIA,NYM,W
Tuesday May 27,MIA,NYM,L
Wednesday May 28,MIA,NYM,L
Friday May 30,MIA,PHI,L
Saturday May 31,MIA,PHI,W
Sunday Jun 1,MIA,PHI,L
Monday Jun 2,MIA,ATL,L
Tuesday Jun 3,MIA,ATL,L
Wednesday Jun 4,MIA,ATL,W
Thursday Jun 5,MIA,ATL,L
Friday Jun 6,MIA,CIN,L
Saturday Jun 7,MIA,CIN,W
Sunday Jun 8,MIA,CIN,W
Monday Jun 9,MIA,CIN,L
Tuesday Jun 10,MIA,PHI,W
Wednesday Jun 11,MIA,PHI,W
Thursday Jun 12,MIA,PHI,L
Friday Jun 13,MIA,TBR,L
Saturday Jun 14,MIA,TBR,L
Sunday Jun 15,MIA,TBR,W
Monday Jun 16,MIA,SEA,W
Tuesday Jun 17,MIA,SEA,L
Wednesday Jun 18,MIA,SEA,W
Friday Jun 20,MIA,OAK,L
Saturday Jun 21,MIA,OAK,W
Sunday Jun 22,MIA,OAK,L
Tuesday Jun 24,MIA,TBR,L
Wednesday Jun 25,MIA,TBR,L
Thursday Jun 26,MIA,TBR,L
Friday Jun 27,MIA,ARI,W
Saturday Jun 28,MIA,ARI,L
Sunday Jun 29,MIA,ARI,W
Monday Jun 30,MIA,WSN,W
Tuesday Jul 1,MIA,WSN,L
Wednesday Jul 2,MIA,WSN,W
Thursday Jul 3,MIA,COL,L
Friday Jul 4,MIA,COL,L
Saturday Jul 5,MIA,COL,L
Sunday Jul 6,MIA,COL,W
Monday Jul 7,MIA,SDP,W
Tuesday Jul 8,MIA,SDP,L
Wednesday Jul 9,MIA,SDP,W
Thursday Jul 10,MIA,LAD,W
Friday Jul 11,MIA,LAD,W
Saturday Jul 12,MIA,LAD,W
Sunday Jul 13,MIA,LAD,L
Friday Jul 18,MIA,PHI,L
Saturday Jul 19,MIA,PHI,W
Sunday Jul 20,MIA,PHI,W
Monday Jul 21,MIA,ATL,L
Tuesday Jul 22,MIA,ATL,W
Wednesday Jul 23,MIA,ATL,L
Thursday Jul 24,MIA,CHC,L
Friday Jul 25,MIA,CHC,W
Saturday Jul 26,MIA,CHC,W
Sunday Jul 27,MIA,CHC,L
Monday Jul 28,MIA,NYM,W
Tuesday Jul 29,MIA,NYM,L
Wednesday Jul 30,MIA,NYM,W
Thursday Jul 31,MIA,COL,W
Friday Aug 1,MIA,COL,L
Saturday Aug 2,MIA,COL,W
Sunday Aug 3,MIA,COL,L
Tuesday Aug 5,MIA,PHI,W
Wednesday Aug 6,MIA,PHI,L
Thursday Aug 7,MIA,PHI,W
Friday Aug 8,MIA,NYM,L
Saturday Aug 9,MIA,NYM,L
Sunday Aug 10,MIA,NYM,W
Monday Aug 11,MIA,STL,L
Tuesday Aug 12,MIA,STL,W
Wednesday Aug 13,MIA,STL,L
Thursday Aug 14,MIA,STL,L
Friday Aug 15,MIA,CHC,L
Saturday Aug 16,MIA,CHC,W
