date,team,opp,wl
Monday Apr 1,MIA,WSN,L
Wednesday Apr 3,MIA,WSN,L
Thursday Apr 4,MIA,WSN,L
Friday Apr 5,MIA,NYM,W
Saturday Apr 6,MIA,NYM,L
Sunday Apr 7,MIA,NYM,L
Monday Apr 8,MIA,ATL,L
Tuesday Apr 9,MIA,ATL,L
Wednesday Apr 10,MIA,ATL,L
Friday Apr 12,MIA,PHI,L
Saturday Apr 13,MIA,PHI,W
Sunday Apr 14,MIA,PHI,L
Monday Apr 15,MIA,WSN,L
Tuesday Apr 16,MIA,WSN,W
Wednesday Apr 17,MIA,WSN,L
Thursday Apr 18,MIA,CIN,L
Friday Apr 19,MIA,CIN,W
Saturday Apr 20,MIA,CIN,L
Sunday Apr 21,MIA,CIN,L
Tuesday Apr 23,MIA,MIN,L
Tuesday Apr 23,MIA,MIN,W
Thursday Apr 25,MIA,CHC,L
Friday Apr 26,MIA,CHC,L
Saturday Apr 27,MIA,CHC,L
Sunday Apr 28,MIA,CHC,W
Monday Apr 29,MIA,NYM,W
Tuesday Apr 30,MIA,NYM,W
Wednesday May 1,MIA,NYM,L
Thursday May 2,MIA,PHI,L
Friday May 3,MIA,PHI,L
Saturday May 4,MIA,PHI,W
Sunday May 5,MIA,PHI,W
Monday May 6,MIA,SDP,L
Tuesday May 7,MIA,SDP,L
Wednesday May 8,MIA,SDP,L
Friday May 10,MIA,LAD,W
Saturday May 11,MIA,LAD,L
Sunday May 12,MIA,LAD,L
Tuesday May 14,MIA,CIN,L
Wednesday May 15,MIA,CIN,L
Thursday May 16,MIA,CIN,L
Friday May 17,MIA,ARI,L
Saturday May 18,MIA,ARI,L
Sunday May 19,MIA,ARI,W
Monday May 20,MIA,PHI,W
Tuesday May 21,MIA,PHI,L
Wednesday May 22,MIA,PHI,L
Friday May 24,MIA,CHW,L
Saturday May 25,MIA,CHW,L
Sunday May 26,MIA,CHW,L
Monday May 27,MIA,TBR,L
Tuesday May 28,MIA,TBR,L
Wednesday May 29,MIA,TBR,L
Thursday May 30,MIA,TBR,L
Friday May 31,MIA,NYM,W
Saturday Jun 1,MIA,NYM,W
Sunday Jun 2,MIA,NYM,W
Monday Jun 3,MIA,PHI,L
Tuesday Jun 4,MIA,PHI,L
Wednesday Jun 5,MIA,PHI,L
