date,team,opp,wl
Monday Apr 5,WSN,PHI,L
Wednesday Apr 7,WSN,PHI,L
Thursday Apr 8,WSN,PHI,W
Friday Apr 9,WSN,NYM,L
Saturday Apr 10,WSN,NYM,W
Sunday Apr 11,WSN,NYM,W
Monday Apr 12,WSN,PHI,L
Wednesday Apr 14,WSN,PHI,L
Thursday Apr 15,WSN,PHI,W
Friday Apr 16,WSN,MIL,W
Saturday Apr 17,WSN,MIL,W
Sunday Apr 18,WSN,MIL,L
Monday Apr 19,WSN,COL,W
Tuesday Apr 20,WSN,COL,L
Wednesday Apr 21,WSN,COL,W
Thursday Apr 22,WSN,COL,L
Friday Apr 23,WSN,LAD,W
Saturday Apr 24,WSN,LAD,L
Sunday Apr 25,WSN,LAD,W
Monday Apr 26,WSN,CHC,L
Tuesday Apr 27,WSN,CHC,W
Wednesday Apr 28,WSN,CHC,W
Friday Apr 30,WSN,MIA,W
Saturday May 1,WSN,MIA,L
Sunday May 2,WSN,MIA,L
Tuesday May 4,WSN,ATL,W
Wednesday May 5,WSN,ATL,L
Thursday May 6,WSN,ATL,W
Friday May 7,WSN,MIA,L
Saturday May 8,WSN,MIA,W
Sunday May 9,WSN,MIA,W
Monday May 10,WSN,NYM,W
Tuesday May 11,WSN,NYM,L
Wednesday May 12,WSN,NYM,W
Thursday May 13,WSN,COL,W
Saturday May 15,WSN,COL,L
Saturday May 15,WSN,COL,L
Sunday May 16,WSN,COL,L
Monday May 17,WSN,STL,L
Tuesday May 18,WSN,STL,L
Wednesday May 19,WSN,NYM,W
Thursday May 20,WSN,NYM,L
Friday May 21,WSN,BAL,L
Saturday May 22,WSN,BAL,W
Sunday May 23,WSN,BAL,W
Tuesday May 25,WSN,SFG,L
Wednesday May 26,WSN,SFG,W
Thursday May 27,WSN,SFG,L
Friday May 28,WSN,SDP,W &V
Saturday May 29,WSN,SDP,L
Sunday May 30,WSN,SDP,L
Monday May 31,WSN,HOU,W
Tuesday Jun 1,WSN,HOU,L
Wednesday Jun 2,WSN,HOU,L
Thursday Jun 3,WSN,HOU,L
Friday Jun 4,WSN,CIN,W
Saturday Jun 5,WSN,CIN,L
Sunday Jun 6,WSN,CIN,L
Tuesday Jun 8,WSN,PIT,W
Wednesday Jun 9,WSN,PIT,W
Thursday Jun 10,WSN,PIT,W
Friday Jun 11,WSN,CLE,L
Saturday Jun 12,WSN,CLE,L
Sunday Jun 13,WSN,CLE,W
Tuesday Jun 15,WSN,DET,L
Wednesday Jun 16,WSN,DET,L
Thursday Jun 17,WSN,DET,L
Friday Jun 18,WSN,CHW,L
Saturday Jun 19,WSN,CHW,L
Sunday Jun 20,WSN,CHW,L
Monday Jun 21,WSN,KCR,W
Tuesday Jun 22,WSN,KCR,W
