date,team,opp,wl
Monday Apr 6,WSN,MIA,L
Tuesday Apr 7,WSN,MIA,L
Wednesday Apr 8,WSN,MIA,L
Friday Apr 10,WSN,ATL,L
Saturday Apr 11,WSN,ATL,L
Sunday Apr 12,WSN,ATL,L
Monday Apr 13,WSN,PHI,L
Thursday Apr 16,WSN,PHI,W
Friday Apr 17,WSN,MIA,L
Saturday Apr 18,WSN,MIA,L
Sunday Apr 19,WSN,MIA,L
Monday Apr 20,WSN,ATL,W
Tuesday Apr 21,WSN,ATL,W
Wednesday Apr 22,WSN,ATL,L
Friday Apr 24,WSN,NYM,L
Saturday Apr 25,WSN,NYM,L
Sunday Apr 26,WSN,NYM,W
Monday Apr 27,WSN,PHI,L
Tuesday Apr 28,WSN,PHI,L
Wednesday Apr 29,WSN,PHI,W
Thursday Apr 30,WSN,STL,L
Friday May 1,WSN,STL,L
Saturday May 2,WSN,STL,W
Monday May 4,WSN,HOU,W
Tuesday May 5,WSN,HOU,W
Wednesday May 6,WSN,LAD,L
Thursday May 7,WSN,LAD,W
Friday May 8,WSN,ARI,W
Saturday May 9,WSN,ARI,W
Sunday May 10,WSN,ARI,L
Monday May 11,WSN,SFG,L
Tuesday May 12,WSN,SFG,L
Wednesday May 13,WSN,SFG,W
Friday May 15,WSN,PHI,L
Saturday May 16,WSN,PHI,L
Saturday May 16,WSN,PHI,L
Sunday May 17,WSN,PHI,L
Monday May 18,WSN,PIT,L
Tuesday May 19,WSN,PIT,L
Wednesday May 20,WSN,PIT,L
Thursday May 21,WSN,PIT,W
Friday May 22,WSN,BAL,L
Saturday May 23,WSN,BAL,L
Sunday May 24,WSN,BAL,W
Monday May 25,WSN,NYM,L
Tuesday May 26,WSN,NYM,L
Wednesday May 27,WSN,NYM,L
Friday May 29,WSN,PHI,L
Saturday May 30,WSN,PHI,L
Sunday May 31,WSN,PHI,L
Tuesday Jun 2,WSN,SFG,W
Thursday Jun 4,WSN,SFG,L
Thursday Jun 4,WSN,SFG,L
Friday Jun 5,WSN,NYM,L
Saturday Jun 6,WSN,NYM,W
Sunday Jun 7,WSN,NYM,L
Tuesday Jun 9,WSN,CIN,L
Wednesday Jun 10,WSN,CIN,L
Thursday Jun 11,WSN,CIN,W
Friday Jun 12,WSN,TBR,L
Saturday Jun 13,WSN,TBR,L
Sunday Jun 14,WSN,TBR,L
Tuesday Jun 16,WSN,NYY,L
Wednesday Jun 17,WSN,NYY,W
Thursday Jun 18,WSN,NYY,W
Friday Jun 19,WSN,TOR,W
Saturday Jun 20,WSN,TOR,W
Sunday Jun 21,WSN,TOR,L
Tuesday Jun 23,WSN,BOS,L
Wednesday Jun 24,WSN,BOS,L
Thursday Jun 25,WSN,BOS,W
Friday Jun 26,WSN,BAL,L
Saturday Jun 27,WSN,BAL,L
Sunday Jun 28,WSN,BAL,W
Monday Jun 29,WSN,MIA,L
Tuesday Jun 30,WSN,MIA,L
Wednesday Jul 1,WSN,MIA,L
Friday Jul 3,WSN,ATL,L
Saturday Jul 4,WSN,ATL,W
Sunday Jul 5,WSN,ATL,W
Monday Jul 6,WSN,COL,L
Tuesday Jul 7,WSN,COL,L
Wednesday Jul 8,WSN,COL,L
Thursday Jul 9,WSN,HOU,L
Friday Jul 10,WSN,HOU,L
Saturday Jul 11,WSN,HOU,W
Sunday Jul 12,WSN,HOU,L
Thursday Jul 16,WSN,CHC,L
Friday Jul 17,WSN,CHC,L
Saturday Jul 18,WSN,CHC,L
Sunday Jul 19,WSN,CHC,L
Monday Jul 20,WSN,NYM,L
Tuesday Jul 21,WSN,NYM,W
Wednesday Jul 22,WSN,NYM,W
Thursday Jul 23,WSN,STL,L
Friday Jul 24,WSN,SDP,L
Saturday Jul 25,WSN,SDP,W
Sunday Jul 26,WSN,SDP,W
Monday Jul 27,WSN,MIL,W
Tuesday Jul 28,WSN,MIL,W
Wednesday Jul 29,WSN,MIL,L
Thursday Jul 30,WSN,MIL,L
Friday Jul 31,WSN,PIT,L
Saturday Aug 1,WSN,PIT,L
Sunday Aug 2,WSN,PIT,W
Monday Aug 3,WSN,PIT,W
Tuesday Aug 4,WSN,MIA,W
