date,phase
1/1/2012,3
1/2/2012,3
1/3/2012,3
1/4/2012,4
1/5/2012,4
1/6/2012,4
1/7/2012,4
1/8/2012,5
1/9/2012,5
1/10/2012,5
1/11/2012,6
1/12/2012,6
1/13/2012,6
1/14/2012,6
1/15/2012,7
1/16/2012,7
1/17/2012,7
1/18/2012,7
1/19/2012,8
1/20/2012,8
1/21/2012,8
1/22/2012,8
1/23/2012,1
1/24/2012,1
1/25/2012,1
1/26/2012,2
1/27/2012,2
1/28/2012,2
1/29/2012,2
1/30/2012,3
1/31/2012,3
2/1/2012,3
2/2/2012,4
2/3/2012,4
2/4/2012,4
2/5/2012,4
2/6/2012,5
2/7/2012,5
2/8/2012,5
2/9/2012,6
2/10/2012,6
2/11/2012,6
2/12/2012,6
2/13/2012,7
2/14/2012,7
2/15/2012,7
2/16/2012,7
2/17/2012,8
2/18/2012,8
2/19/2012,8
2/20/2012,1
2/21/2012,1
2/22/2012,1
2/23/2012,2
2/24/2012,2
2/25/2012,2
2/26/2012,2
2/27/2012,2
2/28/2012,3
2/29/2012,3
3/1/2012,3
3/2/2012,3
3/3/2012,4
3/4/2012,4
3/5/2012,4
3/6/2012,4
3/7/2012,5
3/8/2012,5
3/9/2012,5
3/10/2012,6
3/11/2012,6
3/12/2012,6
3/13/2012,6
3/14/2012,7
3/15/2012,7
3/16/2012,7
3/17/2012,8
3/18/2012,8
3/19/2012,8
3/20/2012,8
3/21/2012,1
3/22/2012,1
3/23/2012,1
3/24/2012,2
3/25/2012,2
3/26/2012,2
3/27/2012,2
3/28/2012,3
3/29/2012,3
3/30/2012,3
3/31/2012,3
4/1/2012,4
4/2/2012,4
4/3/2012,4
4/4/2012,4
4/5/2012,5
4/6/2012,5
4/7/2012,5
4/8/2012,6
4/9/2012,6
4/10/2012,6
4/11/2012,6
4/12/2012,7
4/13/2012,7
4/14/2012,7
4/15/2012,7
4/16/2012,8
4/17/2012,8
4/18/2012,8
4/19/2012,8
4/20/2012,1
4/21/2012,1
4/22/2012,1
4/23/2012,2
4/24/2012,2
4/25/2012,2
4/26/2012,2
4/27/2012,3
4/28/2012,3
4/29/2012,3
4/30/2012,3
5/1/2012,4
5/2/2012,4
5/3/2012,4
5/4/2012,5
5/5/2012,5
5/6/2012,5
5/7/2012,6
5/8/2012,6
5/9/2012,6
5/10/2012,6
5/11/2012,7
5/12/2012,7
5/13/2012,7
5/14/2012,7
5/15/2012,8
5/16/2012,8
5/17/2012,8
5/18/2012,8
5/19/2012,1
5/20/2012,1
5/21/2012,1
5/22/2012,2
5/23/2012,2
5/24/2012,2
5/25/2012,2
5/26/2012,3
5/27/2012,3
5/28/2012,3
5/29/2012,3
5/30/2012,4
5/31/2012,4
6/1/2012,4
6/2/2012,4
6/3/2012,5
6/4/2012,5
6/5/2012,5
6/6/2012,6
6/7/2012,6
6/8/2012,6
6/9/2012,6
6/10/2012,7
6/11/2012,7
6/12/2012,7
6/13/2012,7
6/14/2012,8
6/15/2012,8
6/16/2012,8
6/17/2012,8
6/18/2012,1
6/19/2012,1
6/20/2012,1
6/21/2012,2
6/22/2012,2
6/23/2012,2
6/24/2012,2
6/25/2012,3
6/26/2012,3
6/27/2012,3
6/28/2012,3
6/29/2012,4
6/30/2012,4
7/1/2012,4
7/2/2012,5
7/3/2012,5
7/4/2012,5
7/5/2012,6
7/6/2012,6
7/7/2012,6
7/8/2012,6
7/9/2012,7
7/10/2012,7
7/11/2012,7
7/12/2012,7
7/13/2012,8
7/14/2012,8
7/15/2012,8
7/16/2012,8
7/17/2012,8
7/18/2012,1
7/19/2012,1
7/20/2012,1
7/21/2012,2
7/22/2012,2
7/23/2012,2
7/24/2012,2
7/25/2012,3
7/26/2012,3
7/27/2012,3
7/28/2012,3
7/29/2012,4
